"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 12 23:43:27 UTC 2024","Sun May 12 23:43:29 UTC 2024","1783","","Shop funcionality test","","","","should change currency at country/region menu to Germany Euro, and the prices for the good should be in EUR",""
"passed","Sun May 12 23:43:27 UTC 2024","Sun May 12 23:43:27 UTC 2024","265","","Shop funcionality test","","","","""before each"" hook for Shop funcionality test",""
"passed","Sun May 12 23:43:19 UTC 2024","Sun May 12 23:43:29 UTC 2024","9405","","Shop funcionality test","","","","should remove item from the cart, and cart should become empty",""
"passed","Sun May 12 23:43:29 UTC 2024","Sun May 12 23:43:33 UTC 2024","3876","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty last name",""
"passed","Sun May 12 23:43:43 UTC 2024","Sun May 12 23:43:47 UTC 2024","3441","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one upper-case letter."" when signing up with no upper-case letter in password",""
"passed","Sun May 12 23:43:24 UTC 2024","Sun May 12 23:43:25 UTC 2024","1143","","Shop funcionality test","","","","should search for item a, and show relevant search results",""
"passed","Sun May 12 23:43:23 UTC 2024","Sun May 12 23:43:24 UTC 2024","1202","","Shop funcionality test","","","","should search for item b, and show relevant search results",""
"passed","Sun May 12 23:43:25 UTC 2024","Sun May 12 23:43:29 UTC 2024","3349","","Shop funcionality test","","","","should change currency at country/region menu to Egypt Lyra",""
"passed","Sun May 12 23:43:36 UTC 2024","Sun May 12 23:43:40 UTC 2024","3386","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one number."" when signing up with no number in password",""
"passed","Sun May 12 23:43:47 UTC 2024","Sun May 12 23:43:50 UTC 2024","3375","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty password",""
"passed","Sun May 12 23:43:27 UTC 2024","Sun May 12 23:43:28 UTC 2024","958","","Login funcionality test","","","","""before each"" hook for Login funcionality test",""
"passed","Sun May 12 23:43:17 UTC 2024","Sun May 12 23:43:19 UTC 2024","1245","","Shop funcionality test","","","","check the cart should be empty before shopping first item",""
"passed","Sun May 12 23:43:40 UTC 2024","Sun May 12 23:43:43 UTC 2024","3444","","SignUp funcionality test","","","","should pop up error ""Password must contain at least one symbol."" when signing up with no symbol in password",""
"passed","Sun May 12 23:43:50 UTC 2024","Sun May 12 23:43:50 UTC 2024","103","","SignUp funcionality test","","","","""before each"" hook for SignUp funcionality test",""
"passed","Sun May 12 23:43:27 UTC 2024","Sun May 12 23:43:31 UTC 2024","4124","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty password",""
"passed","Sun May 12 23:43:22 UTC 2024","Sun May 12 23:43:27 UTC 2024","5046","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty email",""
"passed","Sun May 12 23:43:19 UTC 2024","Sun May 12 23:43:29 UTC 2024","10171","","Shop funcionality test","","","","should add new item to the cart, and item is displayed in the cart",""
"passed","Sun May 12 23:43:50 UTC 2024","Sun May 12 23:43:52 UTC 2024","2169","","SignUp funcionality test","","","","should pop up error ""Please accept the terms and conditions"" when signing up without confirming terms",""
"passed","Sun May 12 23:43:33 UTC 2024","Sun May 12 23:43:36 UTC 2024","3580","","SignUp funcionality test","","","","should pop up error ""Password must be at least 12 characters."" when signing up with short password",""
"passed","Sun May 12 23:43:25 UTC 2024","Sun May 12 23:43:29 UTC 2024","4249","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty first name",""
"passed","Sun May 12 23:43:17 UTC 2024","Sun May 12 23:43:22 UTC 2024","5013","","Login funcionality test","","","","should pop up error ""Required"" when logging with empty credentials",""
"passed","Sun May 12 23:43:18 UTC 2024","Sun May 12 23:43:25 UTC 2024","6497","","SignUp funcionality test","","","","should pop up error ""This field is required."" when signing up with empty email",""
